AverageQ,StdForwardProgress,QFunRegParamNorm,AverageAbsQ,Epoch,AverageAbsQYDiff,StdEsReturn,MaxEsReturn,MaxForwardProgress,StdReturn,AverageDiscountedReturn,AverageY,MinEsReturn,MinReturn,AverageForwardProgress,MaxReturn,MinForwardProgress,AverageEsReturn,AverageAbsY,AverageReturn,AverageQLoss,AveragePolicySurr,PolicyRegParamNorm,AverageAction
0.0013913624441055554,0.0,7.97494954628839,0.004087621290613083,9,0.26318039764757456,11.530100315842647,-6.0,0.0,0.0,-34.93829557389413,-0.2617890352034691,-92.0,-38.0,0.0,-38.0,0.0,-35.617083946980856,0.2617890352034691,-38.0,0.11487350578503218,0.09240601109942934,26.446273890713673,0.13771789724353928
-0.3386086052529415,4.440892098500626e-16,8.093268869023651,0.33865113764886806,10,0.08144648194826468,20.08030103492771,-2.0,3.8490187624021157,0.0,-24.678508058695176,-0.3407520809979661,-76.0,-26.0,3.849018762402116,-26.0,3.8490187624021157,-28.62295081967213,0.35562708099796614,-26.0,0.029697154212693717,0.2936599014901939,26.745920607335485,0.999993966488095
-0.5095885872564885,1.7763568394002505e-15,8.200899941052302,0.5109519284504042,11,0.057464367526531654,22.319925254374876,0.0,5.773549701396395,0.0,-31.586874373935437,-0.5110330410377911,-72.0,-34.0,5.773549701396397,-34.0,5.773549701396395,-27.181818181818183,0.5317517910377911,-34.0,0.021049775632788415,0.47742578639560646,27.01117291853625,0.9999975290756322
-0.6493214192458338,4.440892098500626e-16,8.304889807669063,0.6544197444278995,12,0.05503756773035586,17.738683706915214,0.0,3.367904751149131,0.0,-4.266276939532102,-0.6502057883413725,-76.0,-4.0,3.3679047511491307,-4.0,3.367904751149131,-26.529411764705884,0.6753399686763504,-4.0,0.021154702217597226,0.6181445840596664,27.15002190693903,0.9680856947018728
-0.7602546490259632,8.881784197001252e-16,8.393790928391429,0.7715799429906305,13,0.06178762680694163,17.60295960488494,0.0,4.8112925884666184,0.0,-10.07976424815106,-0.7613905269938817,-78.0,-10.0,4.811292588466619,-10.0,4.8112925884666184,-22.558823529411764,0.7933720336274664,-10.0,0.024859252759234132,0.7149858695616964,27.350050145974812,0.9579757131912845
-0.8491635219801564,8.881784197001252e-16,8.5272710217325,0.8665698575860915,14,0.0716187640511547,22.216416475159363,-2.0,5.292421849114793,0.0,-11.978966605669545,-0.8501392585508202,-74.0,-12.0,5.292421849114794,-12.0,5.292421849114793,-30.285714285714285,0.8896391540550206,-12.0,0.02831790107926526,0.7984488422320457,27.435555353995763,0.9999999336047631
-0.9378878817390894,8.881784197001252e-16,8.614815972152106,0.9603898372209725,15,0.07802849859707554,22.945104674869427,-2.0,5.292421457163182,0.0,-11.978966605669545,-0.9383278786100948,-72.0,-12.0,5.292421457163181,-12.0,5.292421457163182,-28.459016393442624,0.9818755784247776,-12.0,0.028776304579659132,0.8939798641828368,27.486866420742036,0.9999944099206393
-1.0113698560669357,0.0,8.751514786942023,1.0416637154518702,16,0.08803922846934858,20.042070087654338,-2.0,0.0,0.0,-10.079764248151061,-1.0116755109605278,-72.0,-10.0,0.0,-10.0,0.0,-27.89830508474576,1.0641889619769456,-10.0,0.03214268003372216,0.9581952857077811,27.51754985412403,0.9999999996075934
-1.072423373179157,0.0,8.880580028610368,1.1118883203346577,17,0.09739888547954463,24.77364635492741,-4.0,0.0,0.0,-11.978966605669545,-1.0724242520232887,-70.0,-12.0,0.0,-12.0,0.0,-34.29090909090909,1.1349457240012553,-12.0,0.03453121501799098,1.0114212409590941,27.522591996783625,0.9999999868699322
-1.1311155763549847,0.0,9.047843324013483,1.1800431701922107,18,0.1065131978362849,24.46851889922062,-2.0,0.0,0.0,-28.16740574832715,-1.131049593518842,-70.0,-30.0,0.0,-30.0,0.0,-30.372881355932204,1.2021269342798746,-30.0,0.03609531211543774,1.0814438841264822,27.600098094135387,0.9999813066980017
