MaxForwardProgress,AverageForwardProgress,AverageAbsY,AverageReturn,AverageY,MaxReturn,MinForwardProgress,AverageAbsQ,MaxEsReturn,AverageDiscountedReturn,StdReturn,AveragePolicySurr,MinEsReturn,AverageQ,AverageAbsQYDiff,QFunRegParamNorm,Epoch,AverageEsReturn,AverageAction,StdEsReturn,MinReturn,StdForwardProgress,PolicyRegParamNorm,AverageQLoss
0.0,0.0,0.2617890352034691,-38.0,-0.2617890352034691,-38.0,0.0,0.004087621290613083,-6.0,-34.93829557389413,0.0,0.09240601109942934,-92.0,0.0013913624441055554,0.26318039764757456,7.97494954628839,9,-35.617083946980856,0.13771789724353928,11.530100315842647,-38.0,0.0,26.446273890713673,0.11487350578503218
3.8490187624021157,3.849018762402116,0.35562708099796614,-26.0,-0.3407520809979661,-26.0,3.8490187624021157,0.33865113764886806,-2.0,-24.678508058695176,0.0,0.2936599014901939,-76.0,-0.3386086052529415,0.08144648194826468,8.093268869023651,10,-28.62295081967213,0.999993966488095,20.08030103492771,-26.0,4.440892098500626e-16,26.745920607335485,0.029697154212693717
5.773549701396395,5.773549701396397,0.5317517910377911,-34.0,-0.5110330410377911,-34.0,5.773549701396395,0.5109519284504042,0.0,-31.586874373935437,0.0,0.47742578639560646,-72.0,-0.5095885872564885,0.057464367526531654,8.200899941052302,11,-27.181818181818183,0.9999975290756322,22.319925254374876,-34.0,1.7763568394002505e-15,27.01117291853625,0.021049775632788415
3.367904751149131,3.3679047511491307,0.6753399686763504,-4.0,-0.6502057883413725,-4.0,3.367904751149131,0.6544197444278995,0.0,-4.266276939532102,0.0,0.6181445840596664,-76.0,-0.6493214192458338,0.05503756773035586,8.304889807669063,12,-26.529411764705884,0.9680856947018728,17.738683706915214,-4.0,4.440892098500626e-16,27.15002190693903,0.021154702217597226
4.8112925884666184,4.811292588466619,0.7933720336274664,-10.0,-0.7613905269938817,-10.0,4.8112925884666184,0.7715799429906305,0.0,-10.07976424815106,0.0,0.7149858695616964,-78.0,-0.7602546490259632,0.06178762680694163,8.393790928391429,13,-22.558823529411764,0.9579757131912845,17.60295960488494,-10.0,8.881784197001252e-16,27.350050145974812,0.024859252759234132
5.292421849114793,5.292421849114794,0.8896391540550206,-12.0,-0.8501392585508202,-12.0,5.292421849114793,0.8665698575860915,-2.0,-11.978966605669545,0.0,0.7984488422320457,-74.0,-0.8491635219801564,0.0716187640511547,8.5272710217325,14,-30.285714285714285,0.9999999336047631,22.216416475159363,-12.0,8.881784197001252e-16,27.435555353995763,0.02831790107926526
5.292421457163182,5.292421457163182,0.9818755784247776,-12.0,-0.9383278786100948,-12.0,5.292421457163182,0.9603898372209725,-2.0,-11.978966605669545,0.0,0.8939798641828368,-72.0,-0.9378878817390894,0.07802849859707554,8.614815972152106,15,-28.459016393442624,0.9999944099206391,22.945104674869427,-12.0,0.0,27.486866420742036,0.028776304579659132
0.0,0.0,1.0641889619769456,-10.0,-1.0116755109605278,-10.0,0.0,1.0416637154518702,-2.0,-10.07976424815106,0.0,0.9581952857077811,-72.0,-1.0113698560669357,0.08803922846934858,8.751514786942023,16,-27.89830508474576,0.9999999996075934,20.042070087654338,-10.0,0.0,27.51754985412403,0.03214268003372216
0.0,0.0,1.1349457240012553,-12.0,-1.0724242520232887,-12.0,0.0,1.1118883203346577,-4.0,-11.978966605669545,0.0,1.0114212409590941,-70.0,-1.072423373179157,0.09739888547954463,8.880580028610368,17,-34.29090909090909,0.9999999868699322,24.77364635492741,-12.0,0.0,27.522591996783625,0.03453121501799098
0.0,0.0,1.2021269342798746,-30.0,-1.131049593518842,-30.0,0.0,1.1800431701922107,-2.0,-28.167405748327152,0.0,1.0814438841264822,-70.0,-1.1311155763549847,0.1065131978362849,9.047843324013483,18,-30.372881355932204,0.9999813066980017,24.46851889922062,-30.0,0.0,27.600098094135387,0.03609531211543774
3.4821497819186495,3.48214978191865,1.2622479137705036,-10.0,-1.1816343956068205,-10.0,3.4821497819186495,1.2395254291721607,-2.0,-10.079764248151061,0.0,1.1324614795399752,-72.0,-1.1818672476292191,0.11703902475526841,9.242757851137988,19,-30.491803278688526,0.9024985406618206,20.688654490252343,-10.0,4.440892098500626e-16,27.748120977852565,0.03953828532331602
1.9308523510074838,1.930852351007484,1.3123340422311842,-10.0,-1.2293330081437015,-10.0,1.9308523510074838,1.290124218954968,-4.0,-10.079764248151061,0.0,1.1639728585194293,-54.0,-1.2296291550527525,0.12541301253328907,9.440435139111784,20,-21.038961038961038,0.7637199763258058,13.1509138080019,-10.0,2.220446049250313e-16,27.86242812673748,0.042597842008082566
0.8374831978810201,0.8374831978810201,1.3251770674291228,-10.0,-1.2355773692366272,-10.0,0.8374831978810201,1.303698592609261,-4.0,-10.07976424815106,0.0,1.0509399542473845,-62.0,-1.2359289571502499,0.13262591380147118,9.632000191892732,21,-18.24,0.9433176668365013,12.044185319065793,-10.0,0.0,27.949268597721602,0.04512714010391832
0.0,0.0,1.2035150692931025,-12.0,-1.085411288086954,-12.0,0.0,1.1832181661957173,-2.0,-11.978966605669545,0.0,0.8127822937123426,-58.0,-1.0867799412997536,0.14040907686842272,9.799719835478518,22,-24.0,0.9999998224628465,13.61158926499182,-12.0,0.0,28.003577433908685,0.04716130302124559
0.0,0.0,1.0358522460596173,-32.0,-0.9102008878752754,-32.0,0.0,1.0123043661576188,-2.0,-29.88573169084388,0.0,0.7320173229324761,-64.0,-0.911964283296944,0.13661436641029515,9.920263887373078,23,-20.526315789473685,0.9999999707278978,14.158383869461014,-32.0,0.0,28.046761086693547,0.04793151919720425
