AverageReturn,AverageAbsQ,StdReturn,MinForwardProgress,StdEsReturn,AverageForwardProgress,MaxForwardProgress,MinEsReturn,AverageAbsQYDiff,AverageAction,AverageEsReturn,AverageQ,QFunRegParamNorm,AverageY,MaxEsReturn,MinReturn,AverageAbsY,StdForwardProgress,AverageDiscountedReturn,AveragePolicySurr,AverageQLoss,MaxReturn,Epoch,PolicyRegParamNorm
10.0,0.10810343333968833,0.0,0.0,3.2367076183623698,0.0,0.0,-10.0,0.05308176893278607,0.11435144691279032,9.461697722567287,-0.10810343333968833,8.014054357626168,-0.05567634402382861,10.0,10.0,0.14942634402382862,0.0,8.179069375972304,0.016610771207269788,0.05725437110256455,10.0,9,26.446205851670072
10.0,0.10158514224144298,0.0,0.0,5.190422189647793,0.0,0.0,-10.0,0.08637646693622034,0.9999993027284968,8.547486033519553,0.05057116910006996,8.304733521140708,0.05100484533336141,10.0,10.0,0.11655042267095134,0.0,9.6059601,-0.06345868695782762,0.0339768070439461,10.0,10,26.458969538861922
-10.0,0.23968676128023217,0.0,0.0,6.843361544023685,0.0,0.0,-10.0,0.05019282519060032,0.9999997421805691,7.291666666666667,0.23949621033373314,8.348258375204091,0.23997899983662108,10.0,-10.0,0.2467602498366211,0.0,-9.6059601,-0.27987215918515074,0.02010594758754126,-10.0,11,26.46091838317338
