MaxForwardProgress,MinReturn,MinForwardProgress,AverageReturn,Epoch,AveragePolicySurr,AverageY,AverageDiscountedReturn,StdReturn,QFunRegParamNorm,MaxEsReturn,MaxReturn,AverageAction,AverageAbsY,AverageQ,StdForwardProgress,StdEsReturn,PolicyRegParamNorm,AverageForwardProgress,AverageQLoss,MinEsReturn,AverageEsReturn,AverageAbsQ,AverageAbsQYDiff
0.0,-10.0,0.0,-10.0,9,0.1191316277491047,-0.14671404357985976,-9.414801494009998,0.0,8.015165175553197,10.0,-10.0,0.08088230233355509,0.14671404357985976,-0.042948385034838214,0.0,7.258115121552442,26.446150856405616,0.0,0.10041512867782383,-10.0,-6.878936319104269,0.042948385034838214,0.10610002313588288
0.0,-10.0,0.0,-10.0,10,0.13561601997952266,-0.15358172160462166,-9.6059601,0.0,8.410603705724997,10.0,-10.0,0.9991209895573696,0.19992547160462162,-0.15314640617735634,0.0,8.528094456660783,26.455711925305234,0.0,0.09414344127489171,-10.0,-5.222222222222222,0.15722303108564267,0.1530666120996948
0.0,-10.0,0.0,-10.0,11,0.2231211449384069,-0.234507290414414,-9.509900498999999,0.0,8.780888632812767,10.0,-10.0,0.9999999944856,0.2859318357732239,-0.23425293187499327,0.0,9.617839386635659,26.473672453140964,0.0,0.07259475712575383,-10.0,-2.738095238095238,0.23805721934308757,0.11437739557568545
0.0,-10.0,0.0,-10.0,12,0.31761537051327043,-0.3197865876989376,-9.509900498999999,0.0,9.16109725692163,10.0,-10.0,0.9999999945863933,0.38074733962008184,-0.3198528119104897,0.0,9.792917761587688,26.473690687057495,0.0,0.0680497128267344,-10.0,-2.0245398773006134,0.3299649935563153,0.11745068804230405
0.0,-10.0,0.0,-10.0,13,0.3447434285759795,-0.3585257279255785,-9.509900498999999,0.0,9.544598601468342,10.0,-10.0,0.9999999946236585,0.4328507938984101,-0.3583278253073839,0.0,9.705340902721122,26.473693825345183,0.0,0.06556189770859233,-10.0,-2.4096385542168677,0.3810141064326221,0.11886577823529912
0.0,-10.0,0.0,-10.0,14,0.3109071713723975,-0.3500274906126521,-9.509900498999999,0.0,9.891148089366435,10.0,-10.0,0.9999999944984956,0.448909705256062,-0.3500170959006714,0.0,9.80750265330209,26.47364790101383,0.0,0.07048976145144559,-10.0,-1.952662721893491,0.38767900056818294,0.1268873186947056
0.0,-10.0,0.0,-10.0,15,0.2651707292626146,-0.3244414868107111,-9.509900498999999,0.0,10.283831583400152,10.0,-10.0,0.9999999940489506,0.43670620187188075,-0.32393370313931164,0.0,9.77791323446716,26.473468335921996,0.0,0.07107305045718756,-10.0,-2.095808383233533,0.3705516308261519,0.1301876555935956
0.0,-10.0,0.0,-10.0,16,0.2275280779674535,-0.2907518228188152,-9.509900498999999,0.0,10.653935445327924,10.0,-10.0,0.9999999929236048,0.42085947660046946,-0.2905384082211075,0.0,9.617839386635659,26.473039723787164,0.0,0.07428701649774683,-10.0,-2.738095238095238,0.3521824349047555,0.13830673975149232
0.0,-10.0,0.0,-10.0,17,0.20559940162262957,-0.270658001664965,-9.509900498999997,0.0,10.985726917453498,10.0,-10.0,0.9999999896769926,0.410862660374358,-0.27014770255051,0.0,9.5831484749991,26.47210426573178,0.0,0.07865494212360208,-10.0,-2.857142857142857,0.3371360255533811,0.14343294909509985
0.0,-10.0,0.0,-10.0,18,0.20098423386827147,-0.25966848891040223,-9.509900498999999,0.0,11.312427867361125,10.0,-10.0,0.99999996682903,0.40589856888729053,-0.2590387890346105,0.0,9.355125676377153,26.46931067572766,0.0,0.08193068149355746,-10.0,-3.532934131736527,0.331151836852577,0.1487885790965834
0.0,-10.0,0.0,-10.0,19,0.12349388200624492,-0.2567591891212974,-9.6059601,0.0,11.622808063575082,10.0,-10.0,0.8632603985479295,0.4104536623287697,-0.25650192411821593,0.0,9.257856769099874,26.706693463226124,0.0,0.08064037964873842,-10.0,-3.7804878048780486,0.3375269896634226,0.14986545831246856
0.0,-10.0,0.0,-10.0,20,0.036686640123565005,-0.2203837168937648,-8.687458127689782,0.0,11.791188925817663,10.0,-10.0,0.9383977814275489,0.4333519931590597,-0.22039985971636658,0.0,9.647527778854398,26.84509756679603,0.0,0.0962453438687216,-10.0,-2.6315789473684212,0.3537396590863651,0.16351716873540298
0.0,10.0,0.0,10.0,21,-0.0916889223821627,-0.07487212836116762,9.509900498999999,0.0,12.02870531830504,10.0,10.0,0.888875543219459,0.4635586972663151,-0.07773073113260283,0.0,9.993138935727439,27.024759289935556,0.0,0.10239077965592266,-10.0,0.37037037037037035,0.387949115879323,0.1740466715322739
0.0,10.0,0.0,10.0,22,-0.23437871232544044,0.06969512210095266,9.509900498999997,0.0,12.221565723818799,10.0,10.0,0.9051755801054149,0.498777404408854,0.06760200366260594,0.0,9.991778943574968,27.186524961735373,0.0,0.10083451895853837,-10.0,0.40540540540540543,0.4310683025473245,0.18007592252528098
0.0,10.0,0.0,10.0,23,-0.3398904299826978,0.16874005042882298,9.509900498999999,0.0,12.36254748965801,10.0,10.0,0.9529717159310489,0.5557551360430417,0.16736813962015018,0.0,9.8209126644043,27.33102562960308,0.0,0.10006258766521017,-10.0,1.8840579710144927,0.49225093362174843,0.1841452698671367
0.0,10.0,0.0,10.0,24,-0.42601703709456334,0.240611259173113,9.509900498999999,0.0,12.539517632617482,10.0,10.0,0.9095554450079262,0.626488210997725,0.24035950157611838,0.0,9.707728879609279,27.414351111619087,0.0,0.09612255328151265,-10.0,2.4,0.5640653954302395,0.18583082427676303
