StdForwardProgress,AverageAbsQ,AveragePolicySurr,MinForwardProgress,AverageQLoss,MaxReturn,MinEsReturn,AverageAbsQYDiff,StdEsReturn,QFunRegParamNorm,MaxForwardProgress,AverageY,AverageAbsY,AverageEsReturn,PolicyRegParamNorm,AverageDiscountedReturn,AverageReturn,Epoch,MaxEsReturn,AverageQ,StdReturn,AverageForwardProgress,MinReturn,AverageAction
0.0,0.04054358811299489,0.04017160366455265,0.0,2.856021357464273e-05,0.0,0.0,0.0009367262022191967,0.0,7.993435126302033,0.0,-0.04046980014678128,0.04046980014678128,0.0,26.45607271909229,0.0,0.0,10,0.0,-0.040456307010592434,0.0,0.0,0.0,0.9977175155754165
0.0,0.0397172279407251,0.03971680752467864,0.0,2.0036517135165003e-15,0.0,0.0,3.512745050540114e-08,0.0,7.993429768027761,0.0,-0.03971720810495222,0.03971720810495222,0.0,26.45607514441001,0.0,0.0,11,0.0,-0.0397172279407251,0.0,0.0,0.0,0.9977190785980464
0.0,0.03933988037580814,0.03933430787654968,0.0,6.003872348289379e-07,0.0,0.0,0.00014491167078868134,0.0,7.985140452407639,0.0,-0.03934013480338685,0.03934013480338685,0.0,26.456965179952828,0.0,0.0,12,0.0,-0.03933988037580814,0.0,0.0,0.0,0.9973970826617006
0.0,0.0391015452146889,0.03909878552757434,0.0,4.696405168318497e-07,0.0,0.0,0.00018980625432585862,0.0,7.975899803260932,0.0,-0.03910185642907759,0.03910185642907759,0.0,26.457889284555385,0.0,0.0,13,0.0,-0.0391015452146889,0.0,0.0,0.0,0.9964859397607431
0.0,0.03914104185417182,0.03914861103753144,0.0,2.863630465492175e-07,0.0,0.0,0.00019396906837281912,0.0,7.96826282265002,0.0,-0.039141331271436,0.039141331271436,0.0,26.45825484863463,0.0,0.0,14,0.0,-0.03914104185417182,0.0,0.0,0.0,0.9990197962888223
0.0,0.039504179957097325,0.03949508398031116,0.0,1.8244850774508923e-07,0.0,0.0,0.00019101468261325372,0.0,7.962078239473998,0.0,-0.039504570953380364,0.039504570953380364,0.0,26.46187327597584,0.0,0.0,15,0.0,-0.039504179957097325,0.0,0.0,0.0,0.9998653450194152
0.0,0.04017904792999321,0.04017135789667745,0.0,1.335962753377667e-07,0.0,0.0,0.00015363197926756598,0.0,7.9570069794045155,0.0,-0.04017952281016058,0.04017952281016058,0.0,26.462048439765574,0.0,0.0,16,0.0,-0.04017904792999321,0.0,0.0,0.0,0.9998941157917633
0.0,0.0408504659156133,0.04084045269595651,0.0,1.0478664573637089e-07,0.0,0.0,0.0001675841914816351,0.0,7.952971522533501,0.0,-0.04085071837715628,0.04085071837715628,0.0,26.446611569946818,0.0,0.0,17,0.0,-0.0408504659156133,0.0,0.0,0.0,0.9998167697778964
0.0,0.04129657634251992,0.041293989047486185,0.0,7.518789418507634e-08,0.0,0.0,0.000112919430195496,0.0,7.950023523936431,0.0,-0.041297361397077355,0.041297361397077355,0.0,26.44473887864105,0.0,0.0,18,0.0,-0.04129657634251992,0.0,0.0,0.0,0.9996693673408565
0.0,0.041372636228467784,0.041365528130547884,0.0,6.4087824713694e-08,0.0,0.0,0.00014457382110988446,0.0,7.947982812900965,0.0,-0.04137307682959521,0.04137307682959521,0.0,26.446822913065922,0.0,0.0,19,0.0,-0.041372636228467784,0.0,0.0,0.0,0.9998300117584991
0.0,0.04119944063492818,0.04118183829054666,0.0,3.863439812774278e-08,0.0,0.0,0.00011975247308439595,0.0,7.946810324620921,0.0,-0.041199685738523735,0.041199685738523735,0.0,26.4529386001486,0.0,0.0,20,0.0,-0.04119944063492818,0.0,0.0,0.0,0.9999783672860959
0.0,0.040836331187953566,0.040831282532836057,0.0,3.510739006545258e-08,0.0,0.0,0.00012409729706961607,0.0,7.945886730206078,0.0,-0.04083668902790144,0.04083668902790144,0.0,26.452789157531072,0.0,0.0,21,0.0,-0.040836331187953566,0.0,0.0,0.0,0.9999774598576916
0.0,0.04014293541984825,0.04014371502999533,0.0,2.981495276966711e-08,0.0,0.0,0.00011508056638471363,0.0,7.945643897738183,0.0,-0.04014327894881838,0.04014327894881838,0.0,26.451401652861215,0.0,0.0,22,0.0,-0.04014293541984825,0.0,0.0,0.0,0.9999622958300391
0.0,0.03950192887138156,0.03950345098857239,0.0,2.4087723085311343e-08,0.0,0.0,0.00010456264568387997,0.0,7.945205236706635,0.0,-0.03950217335075295,0.03950217335075295,0.0,26.449496839456103,0.0,0.0,23,0.0,-0.03950192887138156,0.0,0.0,0.0,0.999921233465982
0.0,0.03886822144493744,0.03886880148776315,0.0,2.1474885144953223e-08,0.0,0.0,9.275192282557375e-05,0.0,7.944803658247423,0.0,-0.038868529850334836,0.038868529850334836,0.0,26.420942352981058,0.0,0.0,24,0.0,-0.03886822144493744,0.0,0.0,0.0,0.6203312364554484
0.0,0.03835963717898373,0.03835210132479179,0.0,1.9841045643071553e-08,0.0,0.0,8.785737180956135e-05,0.0,7.943062104274275,0.0,-0.03835979960288033,0.03835979960288033,0.0,26.4100075633008,0.0,0.0,25,0.0,-0.03835963717898373,0.0,0.0,0.0,0.9615537497592317
0.0,0.037907705865693996,0.03789342847863973,0.0,1.8459079805317364e-08,0.0,0.0,9.355283167622983e-05,0.0,7.941097167476076,0.0,-0.03790798084881575,0.03790798084881575,0.0,26.388884794410295,0.0,0.0,26,0.0,-0.037907705865693996,0.0,0.0,0.0,0.5787625133145717
