MinEsReturn,AverageForwardProgress,Epoch,StdReturn,AverageAbsQ,MaxReturn,AverageAbsQYDiff,StdForwardProgress,AverageQ,StdEsReturn,MaxEsReturn,AverageY,MinForwardProgress,AverageAbsY,MinReturn,AverageAction,AverageQLoss,AverageDiscountedReturn,QFunRegParamNorm,AverageEsReturn,PolicyRegParamNorm,AverageReturn,AveragePolicySurr,MaxForwardProgress
0.0,0.0,10,0.0,0.025401274008616352,10.0,0.00828885855973313,0.0,-0.01776887037311742,4.167128321608714,10.0,-0.017590304015964474,0.0,0.025824576047406036,10.0,0.9134079648595983,0.001731778756504949,9.043820750088045,8.198080321364264,7.7631578947368425,26.67502065759289,10.0,0.014543928740334269,0.0
10.0,0.0,11,0.0,0.038957063514902156,10.0,0.009431997099458725,0.0,-0.0025019350091734687,0.0,10.0,-0.002461093063286782,0.0,0.040269491926867566,10.0,0.9999841181923699,0.0012134565898084685,8.953382542587164,8.32465375418826,10.0,26.764314852107653,10.0,3.11767089659587e-05,0.0
10.0,0.0,12,0.0,0.059944451692723374,10.0,0.006988662640802232,0.0,0.019301716068912168,0.0,10.0,0.01931742220128049,0.0,0.060543770303820015,10.0,0.951093081120125,0.00044337222035948,8.953382542587166,8.3556227171968,10.0,26.85961624590269,10.0,-0.0241273614074025,0.0
10.0,0.0,13,0.0,0.08574708167565243,10.0,0.00800465711898326,0.0,0.05260312573078055,0.0,10.0,0.05261932762323817,0.0,0.08584232435022493,10.0,0.9842007382659353,0.0003853067850261722,8.953382542587164,8.422993371814899,10.0,27.13590582268774,10.0,-0.062209496619318856,0.0
10.0,0.0,14,0.0,0.11995329480274217,10.0,0.009933458100246902,0.0,0.09875055450732184,0.0,10.0,0.09875887671663687,0.0,0.11975605534160513,10.0,0.9757478145289423,0.00042866981669925625,8.863848717161291,8.575036137825109,10.0,27.214363697772882,10.0,-0.1115051583694299,0.0
10.0,0.0,15,0.0,0.16565747610302986,10.0,0.01088649718369245,0.0,0.15370926878000554,0.0,10.0,0.15373137762868525,0.0,0.16548000197840856,10.0,0.9507545377759615,0.00048585331012810084,8.863848717161291,8.73623646319268,10.0,27.291691500065237,10.0,-0.17002460702344865,0.0
10.0,0.0,16,0.0,0.22264356007869698,10.0,0.011912497960083823,0.0,0.21036105052744208,0.0,10.0,0.2104221900872864,0.0,0.2225281584615241,10.0,0.971057326768981,0.0004958992672380167,8.953382542587164,8.783806447092866,10.0,27.449418616104253,10.0,-0.23447961339058157,0.0
10.0,0.0,17,0.0,0.285021802373686,10.0,0.013523068857416411,0.0,0.28021258838644547,0.0,10.0,0.28047926666343853,0.0,0.28495800907939645,10.0,0.9822570123607528,0.0005544384883826805,8.953382542587164,8.883012534887726,10.0,27.50298447654753,10.0,-0.3101446446699615,0.0
10.0,0.0,18,0.0,0.3587473269051632,10.0,0.015140583177592402,0.0,0.35703451901366884,0.0,10.0,0.3577102422186817,0.0,0.35853776541039795,10.0,0.9995278990927757,0.0005415920502027533,8.953382542587164,8.979055234389783,10.0,27.603066033764392,10.0,-0.3851687684570279,0.0
10.0,0.0,19,0.0,0.42816252015800815,10.0,0.01303226285433646,0.0,0.42789294680796625,0.0,10.0,0.4283477123426067,0.0,0.4283838599163926,10.0,0.9999191571540522,0.0003519735829693472,8.953382542587164,9.013584680876386,10.0,27.6043648283821,10.0,-0.4531076085647617,0.0
10.0,0.0,20,0.0,0.4929183959575831,10.0,0.01186212257392864,0.0,0.49274703823008315,0.0,10.0,0.4927526621964444,0.0,0.4928218487868659,10.0,0.9705802344584811,0.00028843241912862404,8.953382542587164,9.06122975601116,10.0,27.57709709605283,10.0,-0.5162336004342042,0.0
10.0,0.0,21,0.0,0.5566081686223877,10.0,0.011445282090145562,0.0,0.5565844181749007,0.0,10.0,0.5566024672673537,0.0,0.5566115737809192,10.0,0.9833605126340549,0.00030736737163749694,8.953382542587164,9.1171940253031,10.0,27.587444467970695,10.0,-0.5822400814340862,0.0
10.0,0.0,22,0.0,0.6034885064300595,0.0,0.010761284429007693,0.0,0.6034876258195045,0.0,10.0,0.6034675659782673,0.0,0.6034675659782673,0.0,0.5070300457586701,0.000346190822411688,0.0,9.19516557778888,10.0,27.645362351714343,0.0,-0.6323031031564494,0.0
10.0,0.0,23,0.0,0.6468864962959674,0.0,0.010839496678577915,0.0,0.6468864962959674,0.0,10.0,0.6468423544174107,0.0,0.6468423544174107,0.0,0.46647328177944036,0.00047335258043138575,0.0,9.281899927857532,10.0,27.75864312419332,0.0,-0.681528771438756,0.0
10.0,0.0,24,0.0,0.6804145731105014,0.0,0.009461712392909938,0.0,0.6804145731105014,0.0,10.0,0.6803515654907065,0.0,0.6803515654907065,0.0,0.33351118212381115,0.0004406969124865304,0.0,9.359971519987397,10.0,27.91914790545999,0.0,-0.7124315935133222,0.0
0.0,0.0,25,0.0,0.7149791509666055,0.0,0.00853727482031853,0.0,0.7149791509666055,0.0,0.0,0.7149897893620238,0.0,0.7149897893620238,0.0,0.5734432836473234,0.0005256251622989219,0.0,9.37724417186549,0.0,28.055641255997525,0.0,-0.7408369149207109,0.0
0.0,0.0,26,0.0,0.7448722874210827,0.0,0.007502262976393705,0.0,0.7448722874210827,0.0,0.0,0.7448637734577007,0.0,0.7448637734577007,0.0,0.6483858114589643,0.00048251139602640994,0.0,9.374620449039718,0.0,28.178961881357456,0.0,-0.7672961355086424,0.0
