AverageEsReturn,AverageQ,AverageAbsY,AverageAbsQ,AverageQLoss,AverageY,MinEsReturn,Epoch,StdReturn,AverageReturn,AverageAbsQYDiff,PolicyRegParamNorm,AverageDiscountedReturn,AveragePolicySurr,MaxReturn,AverageAction,QFunRegParamNorm,MaxForwardProgress,AverageForwardProgress,StdForwardProgress,MinForwardProgress,MinReturn,StdEsReturn,MaxEsReturn
9.461697722567287,-0.10810343333968833,0.14942634402382862,0.10810343333968833,0.05725437110256455,-0.05567634402382861,-10.0,9,0.0,10.0,0.05308176893278607,26.446205851670072,8.179069375972306,0.016610771207269788,10.0,0.11435144691279034,8.014054357626168,0.0,0.0,0.0,0.0,10.0,3.2367076183623698,10.0
8.547486033519553,0.05057116910006996,0.11655042267095134,0.10158514224144298,0.0339768070439461,0.05100484533336141,-10.0,10,0.0,10.0,0.08637646693622034,26.458969538861922,9.6059601,-0.06345868695782762,10.0,0.9999993027284968,8.304733521140708,0.0,0.0,0.0,0.0,10.0,5.190422189647793,10.0
7.291666666666667,0.23949621033373314,0.2467602498366211,0.23968676128023217,0.02010594758754126,0.23997899983662108,-10.0,11,0.0,-10.0,0.05019282519060032,26.46091838317338,-9.6059601,-0.27987215918515074,-10.0,0.9999997421805692,8.348258375204091,0.0,0.0,0.0,0.0,-10.0,6.843361544023685,10.0
6.262626262626263,0.3434272834201261,0.355985809496472,0.3434421746506289,0.025202754247912948,0.34392330949647204,-10.0,12,0.0,-10.0,0.05358741619560547,26.460947505510973,-9.6059601,-0.3947142865351968,-10.0,0.9999997560910762,8.442612724193689,0.0,0.0,0.0,0.0,-10.0,7.796121618770695,10.0
5.721393034825871,0.43451040292444143,0.4509637872780068,0.43482357270377425,0.025145321054244007,0.4345887872780068,-10.0,13,0.0,-10.0,0.05261752453140382,26.46086879198597,-9.6059601,-0.4688427438696434,-10.0,0.9999997497722692,8.731401282880002,0.0,0.0,0.0,0.0,-10.0,8.201564591042738,10.0
5.073891625615763,0.5052146540373923,0.5263689487511993,0.511525101302087,0.02525252861856663,0.5052966895062486,-10.0,14,0.0,-10.0,0.05985854527109718,26.460619980900375,-9.6059601,-0.5259383667584839,-10.0,0.9999997192567879,8.920991012945791,0.0,0.0,0.0,0.0,-10.0,8.617170287948719,10.0
5.3061224489795915,0.5473962413468965,0.5790316003788987,0.5606008150861354,0.03277833331028789,0.5471513517550405,-10.0,15,0.0,-10.0,0.07075560190857247,26.460216906616264,-9.6059601,-0.5669806291542505,-10.0,0.9999996597001233,9.032799487919668,0.0,0.0,0.0,0.0,-10.0,8.476146798895995,10.0
6.428571428571429,0.5873562344819879,0.6271455301312607,0.6006672188969225,0.03932267715358892,0.5876550816369397,-10.0,16,0.0,-10.0,0.07589458335158529,26.458996956128534,-9.6059601,-0.5955329518200916,-10.0,0.9999993570191984,9.205675097352067,0.0,0.0,0.0,0.0,-10.0,7.6598609248311496,10.0
8.857142857142858,0.6115821539506634,0.6568721521039923,0.6272214836190749,0.042932231992008976,0.6120097539880364,-10.0,17,0.0,10.0,0.08278554933224083,26.648399039615818,9.6059601,-0.6688879378074486,10.0,0.873372517690851,9.38103650818208,0.0,0.0,0.0,0.0,10.0,4.642307659791977,10.0
9.777777777777779,0.6969008088326952,0.731895686973892,0.7114395287181161,0.03352209191153874,0.6974116506189629,-10.0,18,0.0,10.0,0.07133192150441019,26.788347070361112,9.6059601,-0.7777205410390973,10.0,0.865056973318061,9.4937151237554,0.0,0.0,0.0,0.0,10.0,2.0964402515681337,10.0
9.659090909090908,0.7673763609710129,0.7969263107005974,0.7806783638766862,0.027192147573265945,0.7676321353710602,-10.0,19,0.0,10.0,0.059735262076640025,26.913999016813978,9.6059601,-0.8351472871828901,10.0,0.5036754106542021,9.651156991394672,0.0,0.0,0.0,0.0,10.0,2.588814943157845,10.0
10.0,0.8190120053676198,0.8478148981018533,0.8343681604351546,0.021410047521159322,0.8192523981018532,10.0,20,0.0,10.0,0.050013600165556296,27.040063591727865,9.509900498999999,-0.8780094995541255,10.0,0.551239608727963,9.764199153177543,0.0,0.0,0.0,0.0,10.0,0.0,10.0
9.71830985915493,0.8609308604187302,0.8861375104085331,0.87448527559389,0.017601806631395236,0.8610750104085331,-10.0,21,0.0,10.0,0.04318316395547674,27.155671379104504,9.509900498999999,-0.9091806021088562,10.0,0.48831809682037297,9.89070089590043,0.0,0.0,0.0,0.0,10.0,2.3567888071382406,10.0
9.63963963963964,0.8888820525113427,0.914893141682964,0.9028986136189584,0.018256350184036655,0.8890806416829641,-10.0,22,0.0,10.0,0.04468792506894397,27.248188903286852,9.414801494009998,-0.9328429976435567,10.0,0.5533438404714358,9.970316075291592,0.0,0.0,0.0,0.0,10.0,2.660328479321333,10.0
10.0,0.9099694940120039,0.9338240870492102,0.9234159744488832,0.015311957519258667,0.9101053370492102,10.0,23,0.0,10.0,0.040692857788226004,27.327841393820588,9.509900498999999,-0.9487198088616806,10.0,0.5724561126386972,10.063569965528355,0.0,0.0,0.0,0.0,10.0,0.0,10.0
9.787234042553191,0.9232656375103907,0.9476538411447656,0.9376127902620378,0.015226641479180713,0.9234975911447657,-10.0,24,0.0,10.0,0.040878615782172174,27.404810629473992,9.320653479069898,-0.9596559640881359,10.0,0.521243473695144,10.131209996250764,0.0,0.0,0.0,0.0,10.0,2.051840587445309,10.0
