StdEsReturn,MaxReturn,AverageAction,Epoch,AverageReturn,AverageAbsQYDiff,AverageForwardProgress,MaxForwardProgress,MaxEsReturn,MinForwardProgress,AveragePolicySurr,QFunRegParamNorm,AverageEsReturn,AverageAbsQ,AverageAbsY,MinReturn,AverageQLoss,StdForwardProgress,AverageDiscountedReturn,AverageY,AverageQ,MinEsReturn,PolicyRegParamNorm,StdReturn
3.2367076183623698,10.0,1.0,9,10.0,0.47495676893278604,0.0,0.0,10.0,0.0,-6.982298560364705,8.176908010457604,9.461697722567287,0.10810343333968833,0.5713013440238286,10.0,4.786606117079899,0.0,9.6059601,0.36619865597617135,-0.10810343333968833,-10.0,33.9116089672626,0.0
5.049341033773246,10.0,1.0,10,10.0,0.902087518188577,0.0,0.0,10.0,0.0,-1.9559620082871132,15.925509445652384,8.631578947368421,0.8720111327463417,0.9358165903395163,10.0,4.563304213739927,0.0,9.6059601,0.8697533953887697,0.8660420552377082,-10.0,129.6378469868939,0.0
3.5336939193881682,10.0,1.0,11,10.0,0.9726921495518706,0.0,0.0,10.0,0.0,-3.0263438967279908,15.791538305449333,9.35483870967742,2.0810857246186036,2.1429334294617726,10.0,4.454949965626902,0.0,9.6059601,2.0857459294617726,2.0810857246186036,-10.0,129.6378469868939,0.0
3.5997773616954225,10.0,1.0,12,10.0,0.9539804883297814,0.0,0.0,10.0,0.0,-4.068552439450345,16.05131518426578,9.329608938547485,3.32705483572134,3.3856364171770568,10.0,3.8541739527545733,0.0,9.6059601,3.3293864171770564,3.32705483572134,-10.0,129.6378469868939,0.0
4.016586111229244,10.0,1.0,13,10.0,0.8871322400491565,0.0,0.0,10.0,0.0,-4.887151505503367,15.739326885868328,9.157894736842104,4.331110518365048,4.402761966920363,10.0,3.3403712165388915,0.0,9.6059601,4.336824466920363,4.331110518365048,-10.0,129.6378469868939,0.0
2.8420719076474685,10.0,1.0,14,10.0,0.9135216488009961,0.0,0.0,10.0,0.0,-5.248616245264502,15.74387551933487,9.587628865979381,4.880098642372043,4.9410998974165246,10.0,3.1030206683817485,0.0,9.6059601,4.880787397416525,4.880098642372043,-10.0,129.6378469868939,0.0
5.0866831874199425,10.0,1.0,15,10.0,0.8461842984329501,0.0,0.0,10.0,0.0,-5.799383049094905,15.67826154601548,8.609625668449198,5.481151232854091,5.556243472875261,10.0,2.908569358980017,0.0,9.6059601,5.481243472875262,5.481151232854091,-10.0,129.6378469868939,0.0
4.853038838222605,10.0,1.0,16,10.0,0.7778634585404952,0.0,0.0,10.0,0.0,-6.214789664125971,15.684368122550834,8.743455497382199,6.011073009006474,6.1056115246872045,10.0,2.8196507925351653,0.0,9.6059601,6.013111524687204,6.011073009006474,-10.0,129.6378469868939,0.0
4.534055133611784,10.0,1.0,17,10.0,0.7303058671776298,0.0,0.0,10.0,0.0,-6.688451951591951,15.684761468146943,8.91304347826087,6.493575996441325,6.579212481937816,10.0,2.5179395355228236,0.0,9.6059601,6.493899981937816,6.493575996441325,-10.0,129.6378469868939,0.0
3.1691600307091545,10.0,1.0,18,10.0,0.683870771201033,0.0,0.0,10.0,0.0,-6.968851172268472,15.639940368487837,9.484536082474227,6.846397757934202,6.949973217335446,10.0,2.5918193524198077,0.0,9.6059601,6.847473217335446,6.846397757934202,-10.0,129.6378469868939,0.0
5.367363761661771,10.0,1.0,19,10.0,0.6363221738941189,0.0,0.0,10.0,0.0,-7.291081441500762,15.66302159705653,8.4375,7.170151489610438,7.265880857355159,10.0,2.363542674984987,0.0,9.6059601,7.170255857355159,7.170151489610438,-10.0,129.6378469868939,0.0
4.64798156610898,10.0,1.0,20,10.0,0.6000940060823852,0.0,0.0,10.0,0.0,-7.4768513295368235,15.662677424178598,8.854166666666666,7.404202130674887,7.517688349834053,10.0,2.5294792080845196,0.0,9.6059601,7.4048758498340534,7.404202130674887,-10.0,129.6378469868939,0.0
4.876917935154671,10.0,1.0,21,10.0,0.5676621272689559,0.0,0.0,10.0,0.0,-7.632257771476731,15.682829838303478,8.73015873015873,7.589758237407322,7.703203078066326,10.0,2.4889821284375007,0.0,9.6059601,7.588828078066326,7.589758237407322,-10.0,129.6378469868939,0.0
4.358898943540674,10.0,1.0,22,10.0,0.5575974613581367,0.0,0.0,10.0,0.0,-7.72978907867085,15.649345687414451,9.0,7.709510361566844,7.841449270495082,10.0,2.7062851014681426,0.0,9.6059601,7.711761770495083,7.709510361566844,-10.0,129.6378469868939,0.0
4.477078476466916,10.0,1.0,23,10.0,0.541385794230659,0.0,0.0,10.0,0.0,-7.827580172692076,15.62825173093493,8.941798941798941,7.821584909684212,7.953499591806196,10.0,2.7136637587921886,0.0,9.6059601,7.821624591806196,7.821584909684212,-10.0,129.6378469868939,0.0
4.488302789304039,10.0,1.0,24,10.0,0.5290381351175169,0.0,0.0,10.0,0.0,-7.914593081494528,15.628251730959386,8.936170212765957,7.914443738600115,8.038613659677663,10.0,2.569526474536366,0.0,9.6059601,7.914863659677663,7.914443738600115,-10.0,129.6378469868939,0.0
3.98660809568318,10.0,1.0,25,10.0,0.5065635113400365,0.0,0.0,10.0,0.0,-8.001055967530736,15.628251730981546,9.17098445595855,8.001112449165433,8.118735832819862,10.0,2.438748948997014,0.0,9.6059601,8.001235832819862,8.001112449165433,-10.0,129.6378469868939,0.0
