2018-02-14 20:22:41.321146 UTC | [experiment_2018_02_14_20_22_37_0001] Populating workers...
2018-02-14 20:22:43.695163 UTC | [experiment_2018_02_14_20_22_37_0001] Populated
2018-02-14 20:23:14.484832 UTC | [experiment_2018_02_14_20_22_37_0001] epoch #0 | Training started
2018-02-14 20:23:14.701869 UTC | [experiment_2018_02_14_20_22_37_0001] epoch #0 | Training finished
2018-02-14 20:23:14.702115 UTC | [experiment_2018_02_14_20_22_37_0001] epoch #1 | Training started
2018-02-14 20:23:14.919275 UTC | [experiment_2018_02_14_20_22_37_0001] epoch #1 | Training finished
2018-02-14 20:23:14.919527 UTC | [experiment_2018_02_14_20_22_37_0001] epoch #2 | Training started
2018-02-14 20:23:15.143892 UTC | [experiment_2018_02_14_20_22_37_0001] epoch #2 | Training finished
2018-02-14 20:23:15.144167 UTC | [experiment_2018_02_14_20_22_37_0001] epoch #3 | Training started
2018-02-14 20:23:15.364945 UTC | [experiment_2018_02_14_20_22_37_0001] epoch #3 | Training finished
2018-02-14 20:23:15.365179 UTC | [experiment_2018_02_14_20_22_37_0001] epoch #4 | Training started
2018-02-14 20:23:15.587863 UTC | [experiment_2018_02_14_20_22_37_0001] epoch #4 | Training finished
2018-02-14 20:23:15.588101 UTC | [experiment_2018_02_14_20_22_37_0001] epoch #5 | Training started
2018-02-14 20:23:15.807255 UTC | [experiment_2018_02_14_20_22_37_0001] epoch #5 | Training finished
2018-02-14 20:23:15.807496 UTC | [experiment_2018_02_14_20_22_37_0001] epoch #6 | Training started
2018-02-14 20:23:16.025460 UTC | [experiment_2018_02_14_20_22_37_0001] epoch #6 | Training finished
2018-02-14 20:23:16.025716 UTC | [experiment_2018_02_14_20_22_37_0001] epoch #7 | Training started
2018-02-14 20:23:16.244452 UTC | [experiment_2018_02_14_20_22_37_0001] epoch #7 | Training finished
2018-02-14 20:23:16.244685 UTC | [experiment_2018_02_14_20_22_37_0001] epoch #8 | Training started
2018-02-14 20:23:16.465823 UTC | [experiment_2018_02_14_20_22_37_0001] epoch #8 | Training finished
2018-02-14 20:23:16.466058 UTC | [experiment_2018_02_14_20_22_37_0001] epoch #9 | Training started
2018-02-14 20:23:16.686339 UTC | [experiment_2018_02_14_20_22_37_0001] epoch #9 | Training finished
2018-02-14 20:23:16.686581 UTC | [experiment_2018_02_14_20_22_37_0001] epoch #10 | Training started
2018-02-14 20:23:53.935328 UTC | [experiment_2018_02_14_20_22_37_0001] epoch #10 | Training finished
2018-02-14 20:23:53.935697 UTC | [experiment_2018_02_14_20_22_37_0001] epoch #10 | Collecting samples for evaluation
